state,value
Alabama,341154.2
Alaska,75011.6
Arizona,598188.8
Arkansas,198422.0
California,4250840.8
Colorado,584323.9
Connecticut,376455.0
Delaware,117218.0
District of Columbia,192617.5
Florida,1834641.4
Georgia,924828.9
Hawaii,124607.8
Idaho,135552.8
Illinois,1201996.1
Indiana,545234.0
Iowa,277110.1
Kansas,241378.4
Kentucky,306897.4
Louisiana,340079.8
Maine,102843.7
Maryland,568139.7
Massachusetts,820104.9
Michigan,730067.6
Minnesota,531464.9
Mississippi,165069.3
Missouri,468469.7
Montana,82357.8
Nebraska,198073.3
Nevada,281453.8
New Hampshire,125523.2
New Jersey,887174.6
New Mexico,152778.6
New York,2467674.0
North Carolina,893762.5
North Dakota,81883.3
Ohio,966779.9
Oklahoma,274421.0
Oregon,342850.1
Pennsylvania,1056446.3
Rhode Island,83956.0
South Carolina,378830.6
South Dakota,80650.3
Tennessee,589817.5
Texas,2904427.8
Utah,315973.2
Vermont,48350.3
Virginia,798447.9
Washington,894990.1
West Virginia,109276.6
Wisconsin,473037.4
Wyoming,52622.3
