rank,name,country,value
1,Industrial and Commercial Bank of China,China,7645.80
2,Agricultural Bank of China,China,6974.82
3,China Construction Bank,China,6524.05
4,Bank of China,China,5484.11
5,JPMorgan Chase,United States,4424.90
6,HSBC,United Kingdom,3438.16
7,Bank of America,United States,3411.74
8,BNP Paribas,France,3279.30
9,Crédit Agricole,France,3148.91
10,Postal Savings Bank of China,China,2671.00
11,Mitsubishi UFJ Financial Group,Japan,2666.71
12,Citigroup,United States,2622.20
13,Banco Santander,Spain,2251.97
14,Bank of Communications,China,2222.98
15,Wells Fargo,United States,2148.63
16,Barclays,United Kingdom,2078.28
17,SMBC Group,Japan,2020.13
18,Société Générale,France,1986.83
19,Mizuho Financial Group,Japan,1897.91
20,China Merchants Bank,China,1868.71
21,BPCE Group,France,1813.02
22,Goldman Sachs,United States,1809.32
23,Royal Bank of Canada,Canada,1726.91
24,Deutsche Bank,Germany,1684.94
25,UBS,Switzerland,1617.43
26,Industrial Bank,China,1586.16
27,Toronto-Dominion Bank,Canada,1547.69
28,Japan Post Bank,Japan,1451.31
29,China CITIC Bank,China,1448.45
30,Crédit Mutuel,France,1441.94
31,Shanghai Pudong Development Bank,China,1441.40
32,Morgan Stanley,United States,1420.27
33,Lloyds Banking Group,United Kingdom,1270.62
34,ING Group,Netherlands,1238.00
35,Intesa Sanpaolo,Italy,1127.02
36,China Minsheng Bank,China,1119.83
37,Scotiabank,Canada,1088.15
38,Bank of Montreal,Canada,1069.57
39,China Everbright Bank,China,1024.44
40,UniCredit,Italy,1021.77
41,Banco Bilbao Vizcaya Argentaria,Spain,1005.77
42,NatWest Group,United Kingdom,961.71
43,Commonwealth Bank,Australia,955.00
44,Standard Chartered,United Kingdom,919.96
45,State Bank of India,India,877.07
46,Sberbank,Russia,870.03
47,ANZ Group,Australia,857.93
48,La Banque postale,France,851.81
49,Ping An Bank,China,847.22
50,Canadian Imperial Bank of Commerce,Canada,834.98
51,CaixaBank,Spain,779.66
52,DZ Bank,Germany,776.59
53,Nordea,Finland,768.29
54,Rabobank,Netherlands,750.13
55,Westpac,Australia,744.33
56,National Australia Bank,Australia,733.56
57,DBS Group,Singapore,697.77
58,Commerzbank,Germany,692.84
59,U.S. Bancorp,United States,692.35
60,Bank of Jiangsu,China,692.14
61,Bank of Beijing,China,687.19
62,Huaxia Bank,China,677.34
63,Capital One,United States,669.01
64,PNC Financial Services,United States,600.13
65,Danske Bank,Denmark,590.16
66,Itaú Unibanco,Brazil,562.14
67,KB Financial Group,South Korea,562.76
68,Truist Financial Corp,United States,547.54
69,Shinhan Financial Group,South Korea,544.51
70,Norinchukin Bank,Japan,541.55
71,Oversea-Chinese Banking Corporation,Singapore,525.32
72,Sumitomo Mitsui Trust Holdings,Japan,522.00
73,Bank of Ningbo,China,519.79
74,Erste Group,Austria,518.50
75,China Guangfa Bank,China,515.24
76,HDFC Bank,India,514.82
77,ABN AMRO,Netherlands,510.65
78,Nationwide Building Society,United Kingdom,507.39
79,China Zheshang Bank,China,497.70
80,Resona Holdings,Japan,494.80
81,Charles Schwab Corporation,United States,491.00
82,Bank of Shanghai,China,473.06
83,BNY Mellon,United States,472.30
84,KBC Group,Belgium,471.89
85,Hana Financial Group,South Korea,467.32
86,VTB Bank,Russia,466.33
87,National Bank of Canada,Canada,444.67
88,Banco do Brasil,Brazil,445.10
89,United Overseas Bank,Singapore,444.76
90,Bank of Nanjing,China,432.12
91,Banco Bradesco,Brazil,418.80
92,Nonghyup Bank,South Korea,417.56
93,Woori Financial Group,South Korea,416.56
94,Landesbank Baden-Württemberg,Germany,407.77
95,Raiffeisen Group,Switzerland,407.32
96,Caixa Econômica Federal,Brazil,403.70
97,SEB Group,Sweden,398.24
98,Nomura Holdings,Japan,395.02
99,First Abu Dhabi Bank,UAE,382.19
100,Qatar National Bank,Qatar,381.61
