country,value
Algeria,2
Argentina,4
Australia,10
Austria,19
Azerbaijan,1
Bangladesh,1
Belarus,4
Belgium,9
Bosnia and Herzegovina,2
Brazil,1
Bulgaria,1
Canada,22
Chile,2
China,12
Colombia,2
Costa Rica,1
Croatia,1
Cyprus,1
Czech Republic,6
Democratic Republic of the Congo,1
Denmark,13
East Timor,2
Egypt,6
Ethiopia,1
Finland,5
France,64
Germany,84
Ghana,1
Greece,1
Guatemala,2
Hungary,12
Iceland,1
India,9
Indonesia,1
Iran,3
Iraq,1
Ireland,5
Israel,6
Italy,20
Japan,30
Jordan,1
Kenya,1
Latvia,1
Lebanon,1
Liberia,2
Lithuania,3
Luxembourg,2
Madagascar,1
Mexico,3
Morocco,1
Myanmar,1
Netherlands,20
New Zealand,3
Nigeria,1
North Macedonia,1
Norway,13
Pakistan,3
Peru,1
Philippines,1
Poland,29
Portugal,2
Romania,4
Russia,29
Saint Lucia,2
Slovakia,1
Slovenia,1
South Africa,9
South Korea,3
Spain,7
Sweden,30
Switzerland,19
Taiwan,1
Trinidad and Tobago,1
Tunisia,1
Turkey,4
USA,299
Ukraine,5
United Kingdom,111
Venezuela,2
Vietnam,1
Yemen,1
Zimbabwe,1
